Entry	Protein names	Length	Subcellular location [CC]	mark
P29353	SHC-transforming protein 1 (SHC-transforming protein 3) (SHC-transforming protein A) (Src homology 2 domain-containing-transforming protein C1) (SH2 domain protein C1)	583	"Cytoplasm.; [Isoform p46Shc]: Mitochondrion matrix {ECO:0000269|PubMed:14573619}. Note=Localized to the mitochondria matrix. Targeting of isoform p46Shc to mitochondria is mediated by its first 32 amino acids, which behave as a bona fide mitochondrial targeting sequence. Isoform p52Shc and isoform p66Shc, that contain the same sequence but more internally located, display a different subcellular localization.; [Isoform p66Shc]: Mitochondrion {ECO:0000250}. Note=In case of oxidative conditions, phosphorylation at 'Ser-36' of isoform p66Shc, leads to mitochondrial accumulation. {ECO:0000250}."	
P11182	"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial (EC 2.3.1.168) (52 kDa mitochondrial autoantigen of primary biliary cirrhosis) (Branched chain 2-oxo-acid dehydrogenase complex component E2) (BCOADC-E2) (Branched-chain alpha-keto acid dehydrogenase complex component E2) (BCKAD-E2) (BCKADE2) (Dihydrolipoamide acetyltransferase component of branched-chain alpha-keto acid dehydrogenase complex) (Dihydrolipoamide branched chain transacylase) (Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase)"	482	Mitochondrion matrix.	
Q96DU9	Polyadenylate-binding protein 5 (PABP-5) (Poly(A)-binding protein 5)	382	Cytoplasm {ECO:0000250}.; [Isoform 2]: Mitochondrion matrix {ECO:0000269|PubMed:23275553}. Note=Co-fractionates with mtDNA and co-immunoprecipitates with the mitochondrial poly(A) polymerase.	
Q969Z0	FAST kinase domain-containing protein 4 (Cell cycle progression restoration protein 2) (Cell cycle progression protein 2) (Protein TBRG4) (Transforming growth factor beta regulator 4)	631	"Mitochondrion matrix {ECO:0000269|PubMed:20869947, ECO:0000269|PubMed:28335001}."	1
Q6L8Q7	"2',5'-phosphodiesterase 12 (2'-PDE) (2-PDE) (EC 3.1.4.-) (Mitochondrial deadenylase) (EC 3.1.13.4)"	609	"Mitochondrion matrix {ECO:0000269|PubMed:21245038, ECO:0000269|PubMed:21666256, ECO:0000269|PubMed:22285541}."	1
Q9Y6J8	Serine/threonine/tyrosine-interacting-like protein 1 (Dual specificity phosphatase inhibitor MK-STYX) (Dual specificity protein phosphatase 24) (Inactive dual specificity protein phosphatase MK-STYX) (Map kinase phosphatase-like protein MK-STYX)	313	Mitochondrion matrix {ECO:0000269|PubMed:21262771}.	1
Q96QE5	"Transcription elongation factor, mitochondrial"	360	"Mitochondrion matrix {ECO:0000269|PubMed:21278163}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:21278163}."	1
P55809	"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial (EC 2.8.3.5) (3-oxoacid CoA-transferase 1) (Somatic-type succinyl-CoA:3-oxoacid CoA-transferase) (SCOT-s)"	520	Mitochondrion matrix.	
Q9HA77	"Probable cysteine--tRNA ligase, mitochondrial (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)"	564	Mitochondrion matrix {ECO:0000250}.	
Q9Y237	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 (EC 5.2.1.8) (Parvulin-14) (Par14) (hPar14) (Parvulin-17) (Par17) (hPar17) (Peptidyl-prolyl cis-trans isomerase Pin4) (PPIase Pin4) (Peptidyl-prolyl cis/trans isomerase EPVH) (hEPVH) (Rotamase Pin4)	131	"[Isoform 1]: Nucleus, nucleolus. Cytoplasm, cytoskeleton, spindle. Cytoplasm. Note=Colocalizes in the nucleolus during interphase and on the spindle apparatus during mitosis with NPM1.; [Isoform 2]: Mitochondrion. Mitochondrion matrix. Note=Imported in a time- and membrane potential-dependent manner to the mitochondrial matrix, but without concomitant processing of the protein. Directed to mitochondria by a novel N-terminal domain that functions as non-cleavable mitochondrial targeting peptide."	
P11498	"Pyruvate carboxylase, mitochondrial (EC 6.4.1.1) (Pyruvic carboxylase) (PCB)"	1178	Mitochondrion matrix.	
Q15118	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 1) (PDH kinase 1)"	436	Mitochondrion matrix {ECO:0000269|PubMed:22195962}.	1
O75439	Mitochondrial-processing peptidase subunit beta (EC 3.4.24.64) (Beta-MPP) (P-52)	489	Mitochondrion matrix {ECO:0000269|PubMed:22354088}.	1
Q16762	Thiosulfate sulfurtransferase (EC 2.8.1.1) (Rhodanese)	297	Mitochondrion matrix.	
O75390	"Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)"	466	Mitochondrion matrix.	
O95822	"Malonyl-CoA decarboxylase, mitochondrial (MCD) (EC 4.1.1.9)"	493	Cytoplasm {ECO:0000269|PubMed:10417274}. Mitochondrion matrix {ECO:0000269|PubMed:10417274}. Peroxisome {ECO:0000269|PubMed:10417274}. Peroxisome matrix {ECO:0000250|UniProtKB:Q920F5}. Note=Enzymatically active in all three subcellular compartments. {ECO:0000250|UniProtKB:Q920F5}.	
Q92947	"Glutaryl-CoA dehydrogenase, mitochondrial (GCD) (EC 1.3.8.6)"	438	Mitochondrion matrix.	
Q8N1Q8	Acyl-coenzyme A thioesterase THEM5 (Acyl-CoA thioesterase THEM5) (EC 3.1.2.2) (Acyl-coenzyme A thioesterase 15) (Thioesterase superfamily member 5)	247	Mitochondrion matrix {ECO:0000269|PubMed:22586271}.	1
P49448	"Glutamate dehydrogenase 2, mitochondrial (GDH 2) (EC 1.4.1.3)"	558	Mitochondrion matrix {ECO:0000269|PubMed:22709669}.	1
P80404	"4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)"	500	Mitochondrion matrix.	
Q53FZ2	"Acyl-coenzyme A synthetase ACSM3, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 3) (Butyrate--CoA ligase 3) (Butyryl-coenzyme A synthetase 3) (Middle-chain acyl-CoA synthetase 3) (Propionate--CoA ligase) (EC 6.2.1.17) (Protein SA homolog)"	586	Mitochondrion {ECO:0000269|PubMed:11772874}. Mitochondrion matrix {ECO:0000250|UniProtKB:Q3UNX5}.	
P29372	DNA-3-methyladenine glycosylase (EC 3.2.2.21) (3-alkyladenine DNA glycosylase) (3-methyladenine DNA glycosidase) (ADPG) (N-methylpurine-DNA glycosylase)	298	"Cytoplasm {ECO:0000269|PubMed:23290262}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:23290262}. Nucleus {ECO:0000269|PubMed:23290262}."	
P30837	"Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase 5) (Aldehyde dehydrogenase family 1 member B1)"	517	Mitochondrion matrix.	
P30038	"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)"	563	Mitochondrion matrix.	
Q86TL0	"Cysteine protease ATG4D (EC 3.4.22.-) (AUT-like 4 cysteine endopeptidase) (Autophagin-4) (Autophagy-related cysteine endopeptidase 4) (Autophagy-related protein 4 homolog D) [Cleaved into: Cysteine protease ATG4D, mitochondrial]"	474	"[Cysteine protease ATG4D]: Cytoplasm {ECO:0000269|PubMed:19549685}.; [Cysteine protease ATG4D, mitochondrial]: Cytoplasm {ECO:0000269|PubMed:19549685}. Mitochondrion matrix {ECO:0000269|PubMed:19549685, ECO:0000269|PubMed:22441018}. Note=Imported into mitochondrial matrix after cleavage by CASP3 during oxidative stress and cell death. {ECO:0000269|PubMed:22441018}."	
P54098	DNA polymerase subunit gamma-1 (EC 2.7.7.7) (Mitochondrial DNA polymerase catalytic subunit) (PolG-alpha)	1239	"Mitochondrion {ECO:0000269|PubMed:18063578}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:18063578}."	
P04181	"Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine delta-aminotransferase) (Ornithine--oxo-acid aminotransferase) [Cleaved into: Ornithine aminotransferase, hepatic form; Ornithine aminotransferase, renal form]"	439	Mitochondrion matrix {ECO:0000269|PubMed:23076989}.	1
Q9ULD0	"2-oxoglutarate dehydrogenase-like, mitochondrial (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1-like) (OGDC-E1-like) (Alpha-ketoglutarate dehydrogenase-like)"	1010	Mitochondrion matrix {ECO:0000269|PubMed:23152800}.	1
Q5U5X0	Complex III assembly factor LYRM7 (LYR motif-containing protein 7)	104	Mitochondrion matrix {ECO:0000269|PubMed:23168492}.	1
Q9NX46	ADP-ribose glycohydrolase ARH3 (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3) (EC 3.5.1.-) (Poly(ADP-ribose) glycohydrolase ARH3) (EC 3.2.1.143) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase) (EC 3.2.2.-)	363	"Nucleus {ECO:0000269|PubMed:17991898}. Cytoplasm {ECO:0000269|PubMed:16278211}. Chromosome {ECO:0000269|PubMed:30045870}. Mitochondrion matrix {ECO:0000269|PubMed:17991898, ECO:0000305|PubMed:22433848}. Note=Recruited to DNA lesion regions following DNA damage; ADP-D-ribose-recognition is required for recruitment to DNA damage sites. {ECO:0000269|PubMed:30045870}."	
Q9BT30	"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 7) (Spermatogenesis cell proliferation-related protein) (Spermatogenesis-associated protein 11)"	221	Mitochondrion matrix {ECO:0000269|PubMed:23666923}.	1
Q14296	Fas-activated serine/threonine kinase (FAST kinase) (EC 2.7.11.8)	549	[Isoform 4]: Mitochondrion matrix {ECO:0000269|PubMed:25704814}. Note=Colocalizes with mitochondrial RNA granules. {ECO:0000269|PubMed:25704814}.	
P10809	"60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)"	573	Mitochondrion matrix.	
Q53H82	Endoribonuclease LACTB2 (EC 3.1.27.-) (Beta-lactamase-like protein 2)	288	Mitochondrion matrix {ECO:0000269|PubMed:26826708}.	1
Q9NUL7	Probable ATP-dependent RNA helicase DDX28 (EC 3.6.4.13) (Mitochondrial DEAD box protein 28)	540	"Nucleus {ECO:0000269|PubMed:11350955, ECO:0000269|PubMed:25683708}. Mitochondrion {ECO:0000269|PubMed:11350955}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:25683715}. Mitochondrion matrix {ECO:0000269|PubMed:25683708}. Note=Transported between these two compartments. Nuclear localization depends on active RNA polymerase II transcription. Localizes to mitochondrial RNA granules found in close proximity to the mitochondrial nucleoids. {ECO:0000269|PubMed:25683708, ECO:0000269|PubMed:25683715}."	
O95571	"Persulfide dioxygenase ETHE1, mitochondrial (EC 1.13.11.18) (Ethylmalonic encephalopathy protein 1) (Hepatoma subtracted clone one protein) (Sulfur dioxygenase ETHE1)"	254	Cytoplasm {ECO:0000269|PubMed:12398897}. Nucleus {ECO:0000269|PubMed:12398897}. Mitochondrion matrix {ECO:0000269|PubMed:14732903}.	
Q9H649	"tRNA (cytosine(34)-C(5))-methyltransferase, mitochondrial (EC 2.1.1.-) (NOL1/NOP2/Sun domain family member 3)"	340	"Mitochondrion matrix {ECO:0000269|PubMed:27214402, ECO:0000269|PubMed:27356879, ECO:0000269|PubMed:27497299}."	1
Q8WWC4	"m-AAA protease-interacting protein 1, mitochondrial (Matrix AAA peptidase-interacting protein 1)"	291	Mitochondrion matrix {ECO:0000269|PubMed:27642048}.	1
P00505	"Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)"	430	Mitochondrion matrix {ECO:0000269|PubMed:9537447}. Cell membrane {ECO:0000269|PubMed:9537447}. Note=Exposure to alcohol promotes translocation to the cell membrane. {ECO:0000269|PubMed:9537447}.	
Q8NFF5	FAD synthase (EC 2.7.7.2) (FAD pyrophosphorylase) (FMN adenylyltransferase) (Flavin adenine dinucleotide synthase) [Includes: Molybdenum cofactor biosynthesis protein-like region; FAD synthase region]	587	[Isoform 1]: Mitochondrion matrix {ECO:0000269|PubMed:20060505}.; [Isoform 2]: Cytoplasm.	
Q96CM3	Mitochondrial RNA pseudouridine synthase RPUSD4 (EC 5.4.99.-) (RNA pseudouridylate synthase domain-containing protein 4)	377	"Mitochondrion matrix {ECO:0000269|PubMed:27974379, ECO:0000269|PubMed:28082677}. Note=Localizes to mitochondrial RNA granules, platforms for post-transcriptional RNA modification and ribosome assembly. {ECO:0000269|PubMed:27974379, ECO:0000269|PubMed:28082677}."	1
Q16775	"Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)"	308	[Isoform 1]: Mitochondrion matrix {ECO:0000269|PubMed:15117945}.; [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:15117945}.	
Q8IXQ9	Electron transfer flavoprotein beta subunit lysine methyltransferase (EC 2.1.1.-) (ETFB lysine methyltransferase) (ETFB-KMT) (Protein N-lysine methyltransferase METTL20)	262	"Cytoplasm {ECO:0000269|PubMed:23349634}. Mitochondrion matrix {ECO:0000269|PubMed:25023281, ECO:0000305|PubMed:25416781}. Note=Concentrated in cytoplasmic granular foci. {ECO:0000269|PubMed:23349634}."	
Q9NVI7	ATPase family AAA domain-containing protein 3A	634	"Mitochondrion inner membrane {ECO:0000269|PubMed:18063578, ECO:0000269|PubMed:20154147, ECO:0000269|PubMed:20332122, ECO:0000269|PubMed:20349121}; Single-pass membrane protein {ECO:0000269|PubMed:20154147, ECO:0000269|PubMed:20349121}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:17210950, ECO:0000269|PubMed:18063578}. Note=In the mitochondrial inner membrane, enriched in sites with the potential to form contacts with the outer membrane (PubMed:20349121, PubMed:20154147). The N-terminal domain interacts with the inner surface of the mitochondrial outer membrane and the C-terminal domain localizes in a specific matrix compartment, where it is associated with nucleoids (PubMed:18063578). {ECO:0000269|PubMed:18063578, ECO:0000269|PubMed:20154147, ECO:0000269|PubMed:20349121}."	
O75616	"GTPase Era, mitochondrial (H-ERA) (hERA) (Conserved ERA-like GTPase) (CEGA) (ERA-W) (ERA-like protein 1)"	437	Mitochondrion matrix. Mitochondrion inner membrane; Peripheral membrane protein. Note=Localizes on the matrix side on the mitochondrial inner membrane.	
P35914	"Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)"	325	Mitochondrion matrix {ECO:0000250|UniProtKB:P38060}. Peroxisome {ECO:0000250|UniProtKB:P38060}. Note=Unprocessed form is peroxisomal. {ECO:0000250|UniProtKB:P38060}.	
Q6P087	Mitochondrial mRNA pseudouridine synthase RPUSD3 (EC 5.4.99.-) (RNA pseudouridylate synthase domain-containing protein 3)	351	"Mitochondrion matrix {ECO:0000269|PubMed:27974379}. Note=Localizes to mitochondrial RNA granules, platforms for post-transcriptional RNA modification and ribosome assembly. {ECO:0000269|PubMed:27974379, ECO:0000269|PubMed:28082677}."	1
O94925	"Glutaminase kidney isoform, mitochondrial (GLS) (EC 3.5.1.2) (K-glutaminase) (L-glutamine amidohydrolase) [Cleaved into: Glutaminase kidney isoform, mitochondrial 68 kDa chain; Glutaminase kidney isoform, mitochondrial 65 kDa chain]"	669	"[Isoform 1]: Mitochondrion {ECO:0000250|UniProtKB:P13264}. Cytoplasm, cytosol {ECO:0000269|PubMed:22228304}. Note=The 74-kDa cytosolic precursor is translocated into the mitochondria and processed via a 72-kDa intermediate to yield the mature 68- and 65-kDa subunits. {ECO:0000250|UniProtKB:P13264}.; [Isoform 3]: Mitochondrion {ECO:0000269|PubMed:22228304}.; [Glutaminase kidney isoform, mitochondrial 68 kDa chain]: Mitochondrion matrix {ECO:0000250|UniProtKB:P13264}. Note=Produced by the proteolytic processing of the 74-kDa cytosolic precursor. {ECO:0000250|UniProtKB:P13264}.; [Glutaminase kidney isoform, mitochondrial 65 kDa chain]: Mitochondrion matrix {ECO:0000250|UniProtKB:P13264}. Note=Produced by the proteolytic processing of the 74-kDa cytosolic precursor. {ECO:0000250|UniProtKB:P13264}."	
O95900	Mitochondrial mRNA pseudouridine synthase TRUB2 (EC 5.4.99.-)	331	"Mitochondrion matrix {ECO:0000269|PubMed:27974379}. Note=Localizes to mitochondrial RNA granules, platforms for post-transcriptional RNA modification and ribosome assembly. {ECO:0000269|PubMed:27974379, ECO:0000269|PubMed:28082677}."	1
Q9H6R3	"Acyl-CoA synthetase short-chain family member 3, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 3) (Acyl-CoA synthetase short-chain family member 3) (Propionate--CoA ligase) (EC 6.2.1.17)"	686	Mitochondrion matrix {ECO:0000269|PubMed:28003429}.	1
Q9UGM6	"Tryptophan--tRNA ligase, mitochondrial (EC 6.1.1.2) ((Mt)TrpRS) (Tryptophanyl-tRNA synthetase) (TrpRS)"	360	Mitochondrion matrix {ECO:0000269|PubMed:28236339}.	1
P34897	"Serine hydroxymethyltransferase, mitochondrial (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)"	504	"Mitochondrion {ECO:0000269|PubMed:21876188, ECO:0000269|PubMed:24075985}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:18063578}. Mitochondrion inner membrane {ECO:0000269|PubMed:21876188}. Cytoplasm {ECO:0000269|PubMed:24075985}. Nucleus {ECO:0000269|PubMed:24075985}. Note=Mainly localizes in the mitochondrion. Also found in the cytoplasm and nucleus as part of the BRISC complex (PubMed:24075985). {ECO:0000269|PubMed:24075985}."	
Q96EY1	"DnaJ homolog subfamily A member 3, mitochondrial (DnaJ protein Tid-1) (hTid-1) (Hepatocellular carcinoma-associated antigen 57) (Tumorous imaginal discs protein Tid56 homolog)"	480	"Mitochondrion matrix. Cytoplasm, cytosol {ECO:0000250}. Cell junction, synapse, postsynaptic cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=Recruited to the postsynaptic cell membrane of the neuromuscular junction through interaction with MUSK. {ECO:0000250}."	
L0R8F8	MIEF1 upstream open reading frame protein (Alternative MIEF1 protein) (AltMIEF1) (MIEF1 microprotein) (MIEF1-MP)	70	"Mitochondrion matrix {ECO:0000269|PubMed:28892042, ECO:0000269|PubMed:29083303, ECO:0000269|PubMed:30215512}."	
O43524	Forkhead box protein O3 (AF6q21 protein) (Forkhead in rhabdomyosarcoma-like 1)	673	"Cytoplasm, cytosol {ECO:0000269|PubMed:10102273, ECO:0000269|PubMed:15084260, ECO:0000269|PubMed:16751106, ECO:0000269|PubMed:17711846, ECO:0000269|PubMed:21329882, ECO:0000269|PubMed:22313691, ECO:0000269|PubMed:22761832, ECO:0000269|PubMed:23283301}. Nucleus {ECO:0000269|PubMed:10102273, ECO:0000269|PubMed:15084260, ECO:0000269|PubMed:16751106, ECO:0000269|PubMed:17711846, ECO:0000269|PubMed:21329882, ECO:0000269|PubMed:22313691, ECO:0000269|PubMed:22761832, ECO:0000269|PubMed:23283301, ECO:0000269|PubMed:29445193}. Mitochondrion matrix {ECO:0000269|PubMed:23283301, ECO:0000269|PubMed:29445193}. Mitochondrion outer membrane {ECO:0000269|PubMed:29445193}; Peripheral membrane protein {ECO:0000269|PubMed:29445193}; Cytoplasmic side {ECO:0000269|PubMed:29445193}. Note=Retention in the cytoplasm contributes to its inactivation (PubMed:10102273, PubMed:15084260, PubMed:16751106). Translocates to the nucleus upon oxidative stress and in the absence of survival factors (PubMed:10102273, PubMed:16751106). Translocates from the cytosol to the nucleus following dephosphorylation in response to autophagy-inducing stimuli (By similarity). Translocates in a AMPK-dependent manner into the mitochondrion in response to metabolic stress (PubMed:23283301, PubMed:29445193). Serum deprivation increases localization to the nucleus, leading to activate expression of SOX9 and subsequent chondrogenesis (By similarity). {ECO:0000250|UniProtKB:Q9WVH4, ECO:0000269|PubMed:10102273, ECO:0000269|PubMed:15084260, ECO:0000269|PubMed:16751106, ECO:0000269|PubMed:23283301, ECO:0000269|PubMed:29445193}."	
P13196	"5-aminolevulinate synthase, nonspecific, mitochondrial (ALAS-H) (EC 2.3.1.37) (5-aminolevulinic acid synthase 1) (Delta-ALA synthase 1) (Delta-aminolevulinate synthase 1)"	640	Mitochondrion matrix.	
Q13472	DNA topoisomerase 3-alpha (EC 5.6.2.1) (DNA topoisomerase III alpha)	1001	Mitochondrion matrix {ECO:0000269|PubMed:29290614}.	1
P09622	"Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine cleavage system L protein)"	509	"Mitochondrion matrix {ECO:0000305|PubMed:29211711, ECO:0000305|PubMed:3693355}. Nucleus {ECO:0000269|PubMed:29211711}. Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:Q811C4}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000269|PubMed:15888450}. Note=Mainly localizes in the mitochondrion. A small fraction localizes to the nucleus, where the 2-oxoglutarate dehydrogenase complex is required for histone succinylation. {ECO:0000269|PubMed:29211711}."	
Q16798	"NADP-dependent malic enzyme, mitochondrial (NADP-ME) (EC 1.1.1.40) (Malic enzyme 3)"	604	Mitochondrion matrix.	
Q05932	"Folylpolyglutamate synthase, mitochondrial (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (FPGS) (Tetrahydrofolylpolyglutamate synthase) (Tetrahydrofolate synthase)"	587	"[Isoform 1]: Mitochondrion inner membrane {ECO:0000269|PubMed:16169100}. Mitochondrion matrix {ECO:0000269|PubMed:16169100, ECO:0000269|PubMed:8408020, ECO:0000269|PubMed:8662720}.; [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:8662720}."	
Q8NI37	Protein phosphatase PTC7 homolog (EC 3.1.3.16) (T-cell activation protein phosphatase 2C) (TA-PP2C) (T-cell activation protein phosphatase 2C-like)	304	Mitochondrion matrix {ECO:0000269|PubMed:30267671}.	1
Q8N2H3	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2 (EC 1.-.-.-)	581	Mitochondrion matrix {ECO:0000269|PubMed:31170524}. Note=The import into mitochondria is dependent on TOMM40 and TIMM23. {ECO:0000269|PubMed:31170524}.	1
Q9P0P8	Mitochondrial transcription rescue factor 1	240	Mitochondrion matrix {ECO:0000269|PubMed:31226201}.	1
A6NJ78	12S rRNA N4-methylcytidine (m4C) methyltransferase (12S rRNA m4C methyltransferase) (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15)	407	Mitochondrion matrix {ECO:0000269|PubMed:31665743}.	1
P61604	"10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10) (Early-pregnancy factor) (EPF)"	102	Mitochondrion matrix.	
Q3KRB8	Inactive Rho GTPase-activating protein 11B (Rho-type GTPase-activating protein 11B)	267	Mitochondrion matrix {ECO:0000269|PubMed:31883789}.	1
Q9NVH0	Exonuclease 3'-5' domain-containing protein 2 (EC 3.1.11.1) (3'-5' exoribonuclease EXD2) (EC 3.1.13.-) (Exonuclease 3'-5' domain-like-containing protein 2)	621	"Mitochondrion outer membrane {ECO:0000269|PubMed:29599527, ECO:0000269|PubMed:31127291}; Single-pass membrane protein {ECO:0000255, ECO:0000269|PubMed:31127291}. Mitochondrion matrix {ECO:0000269|PubMed:29335528}. Nucleus {ECO:0000269|PubMed:26807646}. Chromosome {ECO:0000269|PubMed:26807646, ECO:0000269|PubMed:31255466}. Note=Mainly localizes to the mitochondrial outer membrane (PubMed:29599527, PubMed:31127291). May translocate to the nucleus in response to DNA damage; however mechanism that explain nuclear localization are unknown and require experimental evidences (PubMed:26807646). Recruited to replication forks following replication stress (PubMed:31255466). {ECO:0000269|PubMed:26807646, ECO:0000269|PubMed:29599527, ECO:0000269|PubMed:31127291, ECO:0000269|PubMed:31255466}."	
P00480	"Ornithine transcarbamylase, mitochondrial (OTCase) (EC 2.1.3.3) (Ornithine carbamoyltransferase, mitochondrial)"	354	Mitochondrion matrix {ECO:0000269|PubMed:3895227}.	1
Q02338	"D-beta-hydroxybutyrate dehydrogenase, mitochondrial (EC 1.1.1.30) (3-hydroxybutyrate dehydrogenase) (BDH) (Short chain dehydrogenase/reductase family 9C member 1)"	343	Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q02337}. Mitochondrion matrix {ECO:0000250|UniProtKB:Q02337}.	
Q07817	Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X)	233	"[Isoform Bcl-X(L)]: Mitochondrion inner membrane {ECO:0000250}. Mitochondrion outer membrane {ECO:0000250}. Mitochondrion matrix {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Nucleus membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=After neuronal stimulation, translocates from cytosol to synaptic vesicle and mitochondrion membrane in a calmodulin-dependent manner (By similarity). Localizes to the centrosome when phosphorylated at Ser-49. {ECO:0000250}."	
Q9Y375	"Complex I intermediate-associated protein 30, mitochondrial (NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 1)"	327	"Mitochondrion {ECO:0000269|PubMed:16218961, ECO:0000269|PubMed:17557076}. Mitochondrion matrix {ECO:0000305|PubMed:17557076}. Note=Peripherally associated with the matrix face of the mitochondrial inner membrane. {ECO:0000305|PubMed:17557076}."	
Q07021	"Complement component 1 Q subcomponent-binding protein, mitochondrial (ASF/SF2-associated protein p32) (Glycoprotein gC1qBP) (C1qBP) (Hyaluronan-binding protein 1) (Mitochondrial matrix protein p32) (gC1q-R protein) (p33) (SF2AP32)"	282	"Mitochondrion matrix {ECO:0000269|PubMed:15031724, ECO:0000269|PubMed:17486078, ECO:0000269|PubMed:19164550, ECO:0000269|PubMed:9305894}. Nucleus {ECO:0000269|PubMed:18676636}. Cell membrane {ECO:0000269|PubMed:10747014, ECO:0000269|PubMed:11493647, ECO:0000269|PubMed:12574814, ECO:0000269|PubMed:8195709, ECO:0000269|PubMed:8662673, ECO:0000269|PubMed:9191880, ECO:0000269|PubMed:9233640}; Peripheral membrane protein {ECO:0000269|PubMed:12574814, ECO:0000269|PubMed:8662673, ECO:0000269|PubMed:9191880}; Extracellular side. Secreted. Cytoplasm {ECO:0000269|PubMed:11493647}. Nucleus, nucleolus {ECO:0000269|PubMed:21536856}. Note=Seems to be predominantly localized to mitochondria. Secreted by activated lymphocytes."	
P45954	"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)"	432	Mitochondrion matrix {ECO:0000305|PubMed:11013134}.	1
